model,meta_counting_type,n,cot_acc,nocot_acc,delta_pp
InternVL2_5-8B,action,342,0.347953216374269,0.34502923976608185,0.2923976608187162
InternVL2_5-8B,event,389,0.44473007712082263,0.41131105398457585,3.3419023136246784
InternVL2_5-8B,object,639,0.40219092331768386,0.37089201877934275,3.1298904538341112
InternVL3-14B,action,343,0.3498542274052478,0.3206997084548105,2.9154518950437303
InternVL3-14B,event,387,0.5167958656330749,0.4702842377260982,4.651162790697672
InternVL3-14B,object,636,0.45440251572327045,0.3977987421383648,5.660377358490565
InternVL3-38B,action,343,0.3556851311953353,0.3323615160349854,2.3323615160349864
InternVL3-38B,event,389,0.5347043701799485,0.493573264781491,4.113110539845755
InternVL3-38B,object,647,0.46367851622874806,0.43431221020092736,2.9366306027820697
InternVL3-78B,action,343,0.36443148688046645,0.32653061224489793,3.7900874635568513
InternVL3-78B,event,389,0.5244215938303342,0.455012853470437,6.940874035989713
InternVL3-78B,object,647,0.4806800618238022,0.45440494590417313,2.6275115919629055
InternVL3-8B,action,343,0.36151603498542273,0.36443148688046645,-0.2915451895043719
InternVL3-8B,event,389,0.48586118251928023,0.40616966580976865,7.969151670951158
InternVL3-8B,object,647,0.4095826893353941,0.35857805255023184,5.100463678516226
InternVL3_5-8B,action,343,0.34402332361516036,0.33527696793002915,0.8746355685131213
InternVL3_5-8B,event,389,0.480719794344473,0.35732647814910024,12.339331619537274
InternVL3_5-8B,object,646,0.38854489164086686,0.3622291021671827,2.631578947368418
LLaVA-NeXT-7B,action,250,0.228,0.22,0.8000000000000007
LLaVA-NeXT-7B,event,345,0.2492753623188406,0.23478260869565218,1.4492753623188415
LLaVA-NeXT-7B,object,559,0.24150268336314848,0.25760286225402507,-1.6100178890876586
Qwen2.5-VL-7B,action,340,0.27941176470588236,0.3411764705882353,-6.176470588235294
Qwen2.5-VL-7B,event,385,0.36623376623376624,0.38441558441558443,-1.8181818181818188
Qwen2.5-VL-7B,object,642,0.3629283489096573,0.32242990654205606,4.049844236760125
Qwen3-VL-8B,action,309,0.28802588996763756,0.3300970873786408,-4.207119741100324
Qwen3-VL-8B,event,342,0.3538011695906433,0.3362573099415205,1.7543859649122806
Qwen3-VL-8B,object,596,0.3187919463087248,0.29194630872483224,2.684563758389258
gemini-3-flash-preview,action,342,0.3888888888888889,0.41812865497076024,-2.923976608187134
gemini-3-flash-preview,event,388,0.6701030927835051,0.6958762886597938,-2.577319587628868
gemini-3-flash-preview,object,646,0.5789473684210527,0.56656346749226,1.2383900928792602
gemini-3.1-pro-preview,action,342,0.4473684210526316,0.4327485380116959,1.46198830409357
gemini-3.1-pro-preview,event,389,0.7352185089974294,0.7017994858611826,3.3419023136246784
gemini-3.1-pro-preview,object,647,0.6058732612055642,0.5842349304482226,2.163833075734156
