model,n_eval,cot_acc,nocot_acc,delta_pp,gain_n,loss_n,net_n
InternVL3_5-8B,1378,0.4034833091436865,0.35413642960812775,4.934687953555877,279,211,68
InternVL3-14B,1366,0.4458272327964861,0.3989751098096633,4.685212298682284,245,181,64
InternVL3-8B,1379,0.4191443074691806,0.3734590282813633,4.5685279187817285,234,171,63
InternVL3-78B,1379,0.46410442349528647,0.4227701232777375,4.133430021754897,261,204,57
InternVL3-38B,1379,0.45685279187817257,0.425670775924583,3.118201595358955,229,186,43
InternVL2_5-8B,1370,0.40072992700729926,0.3759124087591241,2.4817518248175183,223,189,34
gemini-3.1-pro-preview,1378,0.6030478955007257,0.5798258345428157,2.322206095791002,186,154,32
Qwen3-VL-8B,1247,0.32076984763432237,0.31355252606255013,0.7217321571772239,190,181,9
Qwen2.5-VL-7B,1367,0.34308705193855155,0.3445501097293343,-0.14630577907827624,202,204,-2
LLaVA-NeXT-7B,1154,0.24090121317157712,0.24263431542461006,-0.1733102253032942,28,30,-2
gemini-3-flash-preview,1376,0.5574127906976745,0.5661337209302325,-0.8720930232558044,143,155,-12
