level,n,correct,acc,model,mode
1,224,77,0.34375,InternVL2_5-8B,CoT
2,743,288,0.3876177658142665,InternVL2_5-8B,CoT
3,403,184,0.456575682382134,InternVL2_5-8B,CoT
1,226,70,0.30973451327433627,InternVL2_5-8B,NoCoT
2,745,283,0.37986577181208053,InternVL2_5-8B,NoCoT
3,408,166,0.4068627450980392,InternVL2_5-8B,NoCoT
1,226,78,0.34513274336283184,InternVL3-8B,CoT
2,745,301,0.4040268456375839,InternVL3-8B,CoT
3,408,199,0.4877450980392157,InternVL3-8B,CoT
1,226,74,0.3274336283185841,InternVL3-8B,NoCoT
2,745,287,0.38523489932885907,InternVL3-8B,NoCoT
3,408,154,0.37745098039215685,InternVL3-8B,NoCoT
1,225,77,0.3422222222222222,InternVL3_5-8B,CoT
2,745,294,0.3946308724832215,InternVL3_5-8B,CoT
3,408,185,0.4534313725490196,InternVL3_5-8B,CoT
1,226,74,0.3274336283185841,InternVL3_5-8B,NoCoT
2,745,246,0.3302013422818792,InternVL3_5-8B,NoCoT
3,408,168,0.4117647058823529,InternVL3_5-8B,NoCoT
1,182,48,0.26373626373626374,LLaVA-NeXT-7B,CoT
2,632,147,0.23259493670886075,LLaVA-NeXT-7B,CoT
3,346,84,0.24277456647398843,LLaVA-NeXT-7B,CoT
1,226,62,0.2743362831858407,LLaVA-NeXT-7B,NoCoT
2,742,171,0.23045822102425875,LLaVA-NeXT-7B,NoCoT
3,405,97,0.23950617283950618,LLaVA-NeXT-7B,NoCoT
1,223,75,0.336322869955157,Qwen2.5-VL-7B,CoT
2,741,239,0.3225371120107962,Qwen2.5-VL-7B,CoT
3,403,155,0.38461538461538464,Qwen2.5-VL-7B,CoT
1,226,68,0.3008849557522124,Qwen2.5-VL-7B,NoCoT
2,745,260,0.348993288590604,Qwen2.5-VL-7B,NoCoT
3,408,147,0.3602941176470588,Qwen2.5-VL-7B,NoCoT
1,210,67,0.319047619047619,Qwen3-VL-8B,CoT
2,691,196,0.28364688856729375,Qwen3-VL-8B,CoT
3,346,137,0.3959537572254335,Qwen3-VL-8B,CoT
1,226,66,0.2920353982300885,Qwen3-VL-8B,NoCoT
2,745,218,0.29261744966442954,Qwen3-VL-8B,NoCoT
3,408,153,0.375,Qwen3-VL-8B,NoCoT
1,221,84,0.38009049773755654,InternVL3-14B,CoT
2,738,307,0.4159891598915989,InternVL3-14B,CoT
3,407,218,0.5356265356265356,InternVL3-14B,CoT
1,226,77,0.3407079646017699,InternVL3-14B,NoCoT
2,745,285,0.3825503355704698,InternVL3-14B,NoCoT
3,408,189,0.4632352941176471,InternVL3-14B,NoCoT
1,226,90,0.39823008849557523,InternVL3-38B,CoT
2,745,321,0.43087248322147653,InternVL3-38B,CoT
3,408,219,0.5367647058823529,InternVL3-38B,CoT
1,226,82,0.36283185840707965,InternVL3-38B,NoCoT
2,745,304,0.4080536912751678,InternVL3-38B,NoCoT
3,408,201,0.49264705882352944,InternVL3-38B,NoCoT
1,226,92,0.40707964601769914,InternVL3-78B,CoT
2,745,315,0.4228187919463087,InternVL3-78B,CoT
3,408,233,0.571078431372549,InternVL3-78B,CoT
1,226,89,0.3938053097345133,InternVL3-78B,NoCoT
2,745,295,0.3959731543624161,InternVL3-78B,NoCoT
3,408,199,0.4877450980392157,InternVL3-78B,NoCoT
1,226,111,0.4911504424778761,gemini-3-flash-preview,CoT
2,743,388,0.522207267833109,gemini-3-flash-preview,CoT
3,407,268,0.6584766584766585,gemini-3-flash-preview,CoT
1,226,114,0.504424778761062,gemini-3-flash-preview,NoCoT
2,744,387,0.5201612903225806,gemini-3-flash-preview,NoCoT
3,408,279,0.6838235294117647,gemini-3-flash-preview,NoCoT
1,226,112,0.49557522123893805,gemini-3.1-pro-preview,CoT
2,744,431,0.5793010752688172,gemini-3.1-pro-preview,CoT
3,408,288,0.7058823529411765,gemini-3.1-pro-preview,CoT
1,226,116,0.5132743362831859,gemini-3.1-pro-preview,NoCoT
2,744,405,0.5443548387096774,gemini-3.1-pro-preview,NoCoT
3,408,278,0.6813725490196079,gemini-3.1-pro-preview,NoCoT
